date,inflation_12m
2018-02-01,2.263468931091861
2018-02-02,2.263468931091861
2018-02-03,2.263468931091861
2018-02-04,2.263468931091861
2018-02-05,2.263468931091861
2018-02-06,2.263468931091861
2018-02-07,2.263468931091861
2018-02-08,2.263468931091861
2018-02-09,2.263468931091861
2018-02-10,2.263468931091861
2018-02-11,2.263468931091861
2018-02-12,2.263468931091861
2018-02-13,2.263468931091861
2018-02-14,2.263468931091861
2018-02-15,2.263468931091861
2018-02-16,2.263468931091861
2018-02-17,2.263468931091861
2018-02-18,2.263468931091861
2018-02-19,2.263468931091861
2018-02-20,2.263468931091861
2018-02-21,2.263468931091861
2018-02-22,2.263468931091861
2018-02-23,2.263468931091861
2018-02-24,2.263468931091861
2018-02-25,2.263468931091861
2018-02-26,2.263468931091861
2018-02-27,2.263468931091861
2018-02-28,2.263468931091861
2018-03-01,2.3309497646499366
2018-03-02,2.3309497646499366
2018-03-03,2.3309497646499366
2018-03-04,2.3309497646499366
2018-03-05,2.3309497646499366
2018-03-06,2.3309497646499366
2018-03-07,2.3309497646499366
2018-03-08,2.3309497646499366
2018-03-09,2.3309497646499366
2018-03-10,2.3309497646499366
2018-03-11,2.3309497646499366
2018-03-12,2.3309497646499366
2018-03-13,2.3309497646499366
2018-03-14,2.3309497646499366
2018-03-15,2.3309497646499366
2018-03-16,2.3309497646499366
2018-03-17,2.3309497646499366
2018-03-18,2.3309497646499366
2018-03-19,2.3309497646499366
2018-03-20,2.3309497646499366
2018-03-21,2.3309497646499366
2018-03-22,2.3309497646499366
2018-03-23,2.3309497646499366
2018-03-24,2.3309497646499366
2018-03-25,2.3309497646499366
2018-03-26,2.3309497646499366
2018-03-27,2.3309497646499366
2018-03-28,2.3309497646499366
2018-03-29,2.3309497646499366
2018-03-30,2.3309497646499366
2018-03-31,2.3309497646499366
2018-04-01,2.4709963021052994
2018-04-02,2.4709963021052994
2018-04-03,2.4709963021052994
2018-04-04,2.4709963021052994
2018-04-05,2.4709963021052994
2018-04-06,2.4709963021052994
2018-04-07,2.4709963021052994
2018-04-08,2.4709963021052994
2018-04-09,2.4709963021052994
2018-04-10,2.4709963021052994
2018-04-11,2.4709963021052994
2018-04-12,2.4709963021052994
2018-04-13,2.4709963021052994
2018-04-14,2.4709963021052994
2018-04-15,2.4709963021052994
2018-04-16,2.4709963021052994
2018-04-17,2.4709963021052994
2018-04-18,2.4709963021052994
2018-04-19,2.4709963021052994
2018-04-20,2.4709963021052994
2018-04-21,2.4709963021052994
2018-04-22,2.4709963021052994
2018-04-23,2.4709963021052994
2018-04-24,2.4709963021052994
2018-04-25,2.4709963021052994
2018-04-26,2.4709963021052994
2018-04-27,2.4709963021052994
2018-04-28,2.4709963021052994
2018-04-29,2.4709963021052994
2018-04-30,2.4709963021052994
2018-05-01,2.781921607842497
2018-05-02,2.781921607842497
2018-05-03,2.781921607842497
2018-05-04,2.781921607842497
2018-05-05,2.781921607842497
2018-05-06,2.781921607842497
2018-05-07,2.781921607842497
2018-05-08,2.781921607842497
2018-05-09,2.781921607842497
2018-05-10,2.781921607842497
2018-05-11,2.781921607842497
2018-05-12,2.781921607842497
2018-05-13,2.781921607842497
2018-05-14,2.781921607842497
2018-05-15,2.781921607842497
2018-05-16,2.781921607842497
2018-05-17,2.781921607842497
2018-05-18,2.781921607842497
2018-05-19,2.781921607842497
2018-05-20,2.781921607842497
2018-05-21,2.781921607842497
2018-05-22,2.781921607842497
2018-05-23,2.781921607842497
2018-05-24,2.781921607842497
2018-05-25,2.781921607842497
2018-05-26,2.781921607842497
2018-05-27,2.781921607842497
2018-05-28,2.781921607842497
2018-05-29,2.781921607842497
2018-05-30,2.781921607842497
2018-05-31,2.781921607842497
2018-06-01,2.8075506935940187
2018-06-02,2.8075506935940187
2018-06-03,2.8075506935940187
