date,btc_price,total_volume,eth_price,total_market_cap,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance,fear_greed,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,inflation_12m,return_1d_eth,return_7d_eth,return_30d_eth,volatility_7d_eth,volatility_30d_eth,ema_7_eth,ema_21_eth,ema_ratio_eth,month,is_jan,is_feb,is_mar,is_apr,is_may,is_jun,is_jul,is_aug,is_sep,is_oct,is_nov,is_dec,halving_year,rsi_14,sma_5,sma_20,sma_50,ema_12,ema_26,macd_line,macd_signal,macd_hist,rsi_sma_2,rsi_sma_5
2018-03-22,8970.31790627893,3081152046.0236883,561.1465342247278,348307874499.3486,151888445786.24927,55179662649.94952,348307874499.3486,0.4360752567095158,0.1584220934690717,0.4055026498214124,36.0,0.0,1.0,0.0,0.0,0.0,2.3309497646499366,0.0125163934596947,-0.0776580320053453,-0.395505297259374,0.0364959413323037,0.0408683941051966,578.7854296903969,666.5681000437581,0.8683065235981161,March,0,0,1,0,0,0,0,0,0,0,0,0,0,23.95863977499974,553.8467863167892,686.2882618097519,798.5768606167283,614.3243961268523,695.9509406759623,-81.62654454911001,-72.91920142976477,-8.70734311934524,23.187630107121578,21.628863168505184
2018-03-23,8736.38576909829,2931676659.5938525,537.7059724380829,340957862412.6163,147943048662.1316,52885690223.31916,340957862412.6163,0.4339042004055494,0.1551091675936148,0.4109866320008358,28.0,0.0,1.0,0.0,0.0,0.0,2.3309497646499366,-0.0417726215114739,-0.1220317669052127,-0.4045134003213915,0.0371982144490064,0.0410937913770061,568.5155610152815,654.7619325860578,0.8682782744712474,March,0,0,1,0,0,0,0,0,0,0,0,0,0,22.342592846772817,549.3660941876001,670.6514109526054,787.2082166183844,602.5369463285801,684.2290911768602,-81.69214484828001,-74.67379011346782,-7.018354734812192,23.150616310886278,22.06164952203308
2018-03-24,8824.59283177853,2877067842.098429,538.109029163154,342777670624.031,149451318665.61404,52936241666.49759,342777670624.031,0.4360007418030937,0.1544331682111221,0.4095660899857841,32.0,0.0,1.0,0.0,0.0,0.0,2.3309497646499366,0.0007495857322237,-0.1147767933500777,-0.3349532763919024,0.0377046050040192,0.0376998770656763,560.9139256307035,644.0819346633396,0.8708735572965451,March,0,0,1,0,0,0,0,0,0,0,0,0,0,22.4394686742247,549.2497820093704,655.3440997348833,777.5450096285792,592.6249590723608,673.4053828795486,-80.78042380718784,-75.89511685221183,-4.885306954976016,22.391030760498758,22.725373825459638
2018-03-25,8621.15079225785,2444371384.2694945,519.4855998398031,335443132826.32715,146022681302.7956,51114768972.69823,335443132826.32715,0.4353127758868076,0.1523798342271101,0.4123073898860822,30.0,0.0,1.0,0.0,0.0,0.0,2.3309497646499366,-0.0346090258926027,-0.0725283861415189,-0.3605912906525443,0.0281046562660521,0.0377639777991842,550.5568417084955,632.682034477039,0.8701951560290054,March,0,0,1,0,0,0,0,0,0,0,0,0,0,21.12796823377812,542.1313923298515,639.13055091138,769.641944775332,581.3727499596596,662.0039174691972,-80.63116750953759,-76.84232698367698,-3.788840525860607,21.78371845400141,22.457057993803758
2018-03-26,8478.63819558905,2066020545.3926065,519.3780445915389,334599139693.36346,143623891714.18073,51114766847.01147,334599139693.36346,0.4292416646552107,0.1527641908878025,0.4179941444569868,31.0,0.0,1.0,0.0,0.0,0.0,2.3309497646499366,-0.0002070418281032,-0.0358509055463858,-0.3993336271838223,0.0253578390794104,0.0348742591741214,542.7621410325419,622.321390579704,0.8721572956490355,March,0,0,1,0,0,0,0,0,0,0,0,0,0,21.120290865010077,535.1650360514614,623.0919033677445,761.1934410767924,571.8351029799487,651.4390379967781,-79.60393501682938,-77.39464859030747,-2.2092864265219134,21.124129549394098,22.19779207895709
2018-03-27,8186.19606281355,2972024162.97679,487.5396120553992,319070597841.48004,138684803358.9432,47991343456.18946,319070597841.48004,0.4346524070132099,0.1504097957657396,0.4149377972210504,24.0,1.0,0.0,0.0,0.0,0.0,2.3309497646499366,-0.061301075137242,-0.1216729741573219,-0.4116980253600097,0.02764515898777,0.0355479808136435,528.9565069329062,610.0033471784709,0.8671370565088842,March,0,0,1,0,0,0,0,0,0,0,0,0,0,18.927701517164095,520.4436516175956,607.0464273092828,754.2464499112336,558.8665659146334,639.2983397788983,-80.43177386426487,-78.00207364509895,-2.429700219165923,20.023996191087086,21.19160442738996
2018-03-28,7836.76304425289,2653185409.403986,449.0522524920757,302986357514.43976,132779843611.38556,44211929435.11478,302986357514.43976,0.4382370371413753,0.1459205285604574,0.4158424342981672,24.0,1.0,0.0,0.0,0.0,0.0,2.3309497646499366,-0.0789420154006894,-0.1897432498689523,-0.4670812751281515,0.0345682968280963,0.0366985133990127,508.9804413092493,595.3007319526432,0.8549971703205284,March,0,0,1,0,0,0,0,0,0,0,0,0,0,16.674219753423984,502.7129076283942,591.869381371516,749.5412281665417,541.9720561573168,625.2060370169114,-83.23398085959457,-79.04845508799806,-4.185525771596502,17.80096063529404,20.057929808720196
2018-03-29,7930.77954092755,2033730316.7590544,443.9491009578748,304858935304.54755,134386559681.90623,43718505250.02615,304858935304.54755,0.4408155514538451,0.1434056876382918,0.415778760907863,18.0,1.0,0.0,0.0,0.0,0.0,2.3309497646499366,-0.0113642710973617,-0.2088535277666311,-0.4859619527874358,0.0307459508150419,0.0357484932802698,492.7226049923975,581.4810820547735,0.8473579282257453,March,0,0,1,0,0,0,0,0,0,0,0,0,0,16.395488567473024,483.8809219873383,579.107341495079,742.7054318755995,526.8916015112488,611.7795973088346,-84.88799579758575,-80.2163632299156,-4.6716325676701445,16.534854160448504,18.84913378736986
2018-03-30,7126.89519256736,3680239216.3167896,385.3270956688641,269997090682.8624,120777974799.76305,37953505528.35885,269997090682.8624,0.4473306526907299,0.1405700536712038,0.4120992936380663,12.0,1.0,0.0,0.0,0.0,0.0,2.3309497646499366,-0.1320466809427624,-0.2833869895071051,-0.5567199022780128,0.0488750466315639,0.0406473445418491,465.8737261392871,563.577754239582,0.8266361165512576,March,0,0,1,0,0,0,0,0,0,0,0,0,0,13.585939575407735,457.0492211531506,562.8291136151913,734.6971954788771,505.1124467662666,595.0053379280961,-89.89289116182948,-82.15166881629838,-7.741222345531099,14.99071407144038,17.340728055695784
2018-03-31,6897.26857786945,4264255594.746104,395.32626329061816,266753248047.40903,116900853303.24556,38946452754.23128,266753248047.40903,0.4382359133729057,0.1460017939399541,0.4157622926871402,16.0,1.0,0.0,0.0,0.0,0.0,2.3309497646499366,0.0259498170103951,-0.2653417023954904,-0.5329129106669062,0.0535449022316834,0.0417350183035795,448.2368596771635,548.2267054606891,0.8176122308753611,March,0,0,1,0,0,0,0,0,0,0,0,0,0,16.22302844531127,432.2388648929664,548.34870977602,726.4472657343796,488.2222646930899,580.214295362357,-91.99203066926708,-84.11974118689213,-7.872289482374953,14.904484010359504,16.36127557175602
