date,btc_mcap,eth_mcap,total_mcap,btc_dominance,eth_dominance,alt_dominance
2020-05-05,162341412439.88123,22819858077.111965,249744258316.8562,0.650030609448146,0.09137290374924213,0.25859648680261194
2020-05-06,165335617639.04947,22740460359.466698,252094549143.06787,0.6558476500228442,0.09020607719114587,0.25394627278600995
2020-05-07,167950864937.1468,22529347281.111214,254679607600.64893,0.659459414593188,0.08846152816615935,0.2520790572406526
2020-05-08,182927847431.44943,23678773321.927563,273523703972.18845,0.668782430096257,0.08656936484135647,0.2446482050623865
2020-05-09,180421762956.3486,23476076684.66088,271982758846.99225,0.6633573529484177,0.08631457664516036,0.25032807040642197
2020-05-10,175752574354.63544,23328821609.133904,242586701934.74167,0.724493852931455,0.09616694329522481,0.17933920377332024
2020-05-11,160814678353.7077,20859785783.852856,243078805028.0174,0.6615742509313888,0.0858149100307143,0.25261083903789694
2020-05-12,158113540964.46692,20616754314.25829,239129498739.93723,0.6612046685901418,0.0862158555213626,0.2525794758884956
2020-05-13,161474125336.405,20993946147.95032,244112994618.7768,0.6614728789369604,0.08600093649555966,0.25252618456747994
2020-05-14,170593350055.82486,22169692740.7452,256048785022.3336,0.666253308098865,0.08658386228550732,0.24716282961562772
2020-05-15,179398095871.3398,22562017222.46954,264897223520.5705,0.6772366032647704,0.08517272065978258,0.23759067607544698
2020-05-16,170983863891.47488,21656663418.09443,257102358974.1654,0.6650419878436665,0.08423362393291214,0.25072438822342136
2020-05-17,172309401206.74423,22256509489.00485,260414692627.37415,0.6616731163218227,0.0854656442939322,0.2528612393842451
2020-05-18,177224284369.1316,22938430778.9383,264474253827.07657,0.6701003284993012,0.08673218828300894,0.24316748321768983
2020-05-19,178446153576.46417,23793534838.638046,265282029657.3789,0.6726658183629463,0.0896914686206534,0.23764271301640033
2020-05-20,179127815802.66245,23656360817.218487,268852542754.1611,0.6662678878453346,0.08799009514613322,0.24574201700853215
2020-05-21,175227227252.9058,23303624068.60854,263420965015.62524,0.6651984865460951,0.08846533557883765,0.2463361778750672
2020-05-22,166569335290.8396,22089212414.44277,251605603235.16687,0.6620255397696891,0.08779300671534235,0.2501814535149685
2020-05-23,168309812992.5134,22960218146.427925,256096396143.6365,0.6572127352315948,0.08965459292738447,0.2531326718410207
2020-05-24,168614573110.75775,22943289960.014706,256104437887.36075,0.6583820823320423,0.08958567898813831,0.2520322386798194
