date,eth_price,rsi,return_today,rsi_lag_1
2024-01-16,2515.3199803936955,61.793317019976776,0.015086136066110756,58.45430645476642
2024-01-17,2589.4826316304293,57.89858569773963,0.029484380442573288,61.793317019976776
2024-01-18,2528.3287854519394,54.10080998331812,-0.02361624110990279,57.89858569773963
2024-01-19,2467.3289785137254,55.25885799085094,-0.024126532628670927,54.10080998331812
2024-01-20,2489.6180646533794,53.960336193669775,0.009033690413298823,55.25885799085094
2024-01-21,2470.2636151036777,52.90615843858524,-0.00777406375077716,53.960336193669775
2024-01-22,2454.909543339834,44.3829459515225,-0.006215560019572797,52.90615843858524
2024-01-23,2307.5870034987734,40.9042271186962,-0.06001139237115527,44.3829459515225
2024-01-24,2241.942776155338,40.55651934789854,-0.028447129943055427,40.9042271186962
2024-01-25,2236.7393130974074,39.74692021191419,-0.0023209615844227427,40.55651934789854
2024-01-26,2219.6145274459245,43.53661398331087,-0.007656138357835074,39.74692021191419
2024-01-27,2268.8707315074744,43.58959932401106,0.02219133252755756,43.53661398331087
2024-01-28,2267.907851752534,42.91485379834396,-0.00042438722557835984,43.58959932401106
2024-01-29,2257.054464645605,47.7936071535144,-0.0047856384899156446,42.91485379834396
2024-01-30,2314.59472753004,49.90645774132254,0.025493519888750038,47.7936071535144
2024-01-31,2344.001400019654,45.43418022156659,0.01270489046736678,49.90645774132254
2024-02-01,2282.485867015841,47.18505646233368,-0.026243812398446975,45.43418022156659
2024-02-02,2301.737299308667,47.54394104791002,0.008434414675257296,47.18505646233368
2024-02-03,2307.4329984830933,46.57325670211805,0.002474521821468123,47.54394104791002
2024-02-04,2294.715924804408,46.02576444708957,-0.0055113512232187745,46.57325670211805
2024-02-05,2290.084492877089,46.99150968285262,-0.0020183029529957652,46.02576444708957
2024-02-06,2298.669906674278,53.95389075130404,0.0037489506714238896,46.99150968285262
2024-02-07,2372.760878734525,58.11881749220835,0.03223210598664927,53.95389075130404
