release date,sentiment_value
2016-07-27,0.991
2016-08-17,1.0
2016-09-21,0.993
2016-10-12,1.0
2016-11-02,0.993
2016-11-23,1.0
2016-12-14,0.99
2017-01-04,1.0
2017-02-01,0.983
2017-02-22,1.0
2017-03-15,0.969
2017-04-05,1.0
2017-05-03,0.987
2017-05-24,1.0
2017-06-14,0.979
2017-07-05,1.0
2017-07-26,0.936
2017-08-16,1.0
2017-09-20,0.876
2017-10-11,1.0
2017-11-01,0.899
2017-11-22,1.0
2017-12-13,0.928
2018-01-03,1.0
2018-01-31,0.914
2018-02-21,1.0
2018-03-21,0.964
2018-04-11,1.0
2018-05-02,0.958
2018-05-23,1.0
2018-06-13,0.949
2018-07-05,1.0
2018-08-01,0.939
2018-08-22,1.0
2018-09-26,0.856
2018-10-17,1.0
2018-11-08,0.92
2018-11-29,1.0
2018-12-19,0.572
2019-01-09,1.0
2019-01-30,0.906
2019-02-20,1.0
2019-03-20,0.931
2019-04-10,1.0
2019-05-01,0.863
2019-05-22,1.0
2019-06-19,0.202
2019-07-10,1.0
2019-07-31,0.768
2019-08-21,1.0
2019-09-18,0.036
2019-10-09,1.0
2019-10-11,0.996
2019-10-30,0.459
2019-11-20,1.0
2019-12-11,0.625
2019-12-15,-0.8
2020-01-03,1.0
2020-01-29,0.202
2020-02-19,1.0
2020-03-03,0.511
2020-03-15,0.991
2020-03-16,-1.0
2020-03-23,0.998
2020-04-20,-0.9
2020-04-29,0.957
2020-05-20,1.0
2020-06-10,0.978
2020-07-01,1.0
2020-07-29,0.986
2020-08-19,1.0
2020-09-16,0.985
2020-10-07,1.0
2020-11-05,0.956
2020-11-25,1.0
2020-12-16,0.98
2021-01-06,1.0
2021-01-27,0.963
2021-02-17,1.0
2021-03-17,0.972
2021-04-07,1.0
2021-04-28,0.991
2021-05-19,1.0
2021-06-16,0.992
2021-07-07,1.0
2021-07-28,0.993
2021-08-18,1.0
2021-09-22,0.994
2021-10-13,1.0
2021-11-03,0.997
2021-11-24,1.0
2021-12-15,0.996
2022-01-05,1.0
2022-01-26,0.994
2022-02-16,1.0
2022-02-24,-0.9
2022-03-16,0.838
2022-04-06,1.0
2022-05-04,0.342
2022-05-25,1.0
2022-06-15,0.153
2022-07-06,1.0
2022-07-27,0.791
2022-08-17,1.0
2022-09-21,0.66
2022-10-12,1.0
2022-10-13,-0.8
2022-11-02,0.402
2022-11-23,1.0
2022-12-14,0.599
2023-01-04,1.0
2023-02-01,0.214
2023-02-22,1.0
2023-03-10,-0.8
2023-03-22,0.859
2023-04-12,1.0
2023-05-03,0.784
2023-05-24,1.0
2023-06-14,0.848
2023-07-05,1.0
2023-07-26,0.784
2023-08-16,1.0
2023-09-20,0.891
2023-10-11,1.0
2023-11-01,0.909
2023-11-21,1.0
2023-12-13,0.935
2024-01-03,1.0
2024-01-31,0.977
2024-02-21,1.0
2024-03-20,0.975
2024-04-10,1.0
2024-05-01,0.989
2024-05-22,1.0
2024-06-12,0.983
2024-07-03,1.0
2024-07-31,0.981
2024-08-21,1.0
2024-09-18,0.956
2024-10-09,1.0
2024-11-05,-0.8
2024-11-07,0.892
2024-11-26,1.0
2024-12-18,0.892
2025-01-08,1.0
2025-01-29,0.772
2025-02-19,1.0
2025-03-19,0.931
2025-04-09,1.0
2025-05-07,0.625
2025-05-28,1.0
